Year,Week,Monthn,Sales,Gallons,date
2017,18,5,9099.31,285,2017-05-01
2017,19,5,9191.51,211,2017-05-08
2017,20,5,9383.62,275,2017-05-15
2017,21,5,12449.61,401,2017-05-22
2017,22,5,3479.68,124,2017-05-29
2017,22,6,5301.56,154,2017-05-29
2017,23,6,10294.13,263,2017-06-05
2017,24,6,7770.73,218,2017-06-12
2017,25,6,10159.14,277,2017-06-19
2017,26,6,11245.22,271,2017-06-26
2017,26,7,878.25,23,2017-06-26
2017,27,7,9700.01,288,2017-07-03
2017,28,7,7275.57,260,2017-07-10
2017,29,7,7452.07,202,2017-07-17
2017,30,7,7187.88,234,2017-07-24
2017,31,7,2762.71,76,2017-07-31
2017,31,8,5940.48,171,2017-07-31
2017,32,8,12309.72,496,2017-08-07
2017,33,8,6870.76,208,2017-08-14
2017,34,8,6060.62,156,2017-08-21
2017,35,8,7405.92,174,2017-08-28
2017,35,9,1578.46,37,2017-08-28
2017,36,9,6847.63,230,2017-09-04
2017,37,9,7092.46,240,2017-09-11
2017,38,9,5863.57,168,2017-09-18
2017,39,9,3787.31,103,2017-09-25
2017,40,10,6270.72,237,2017-10-02
2017,41,10,7072.76,189,2017-10-09
2017,42,10,6738.14,170,2017-10-16
2017,43,10,8378.16,294,2017-10-23
2017,44,10,6379.37,189,2017-10-30
2017,44,11,5464.86,125,2017-10-30
2017,45,11,9032.67,285,2017-11-06
2017,46,11,7463.85,229,2017-11-13
2017,47,11,7777.54,148,2017-11-20
2017,48,11,8810.75,247,2017-11-27
2017,48,12,2963.3,85,2017-11-27
2017,49,12,7994.66,212,2017-12-04
2017,50,12,7614.32,232,2017-12-11
2017,51,12,4231.39,139,2017-12-18
2017,52,12,4474.76,146,2017-12-25
2018,1,1,6885.43,196,2018-01-01
2018,2,1,9074.32,236,2018-01-08
2018,3,1,10495.42,357,2018-01-15
2018,4,1,5429.52,179,2018-01-22
2018,5,1,2657.46,73,2018-01-29
2018,5,2,1709.16,48,2018-01-29
2018,6,2,7982.23,274,2018-02-05
2018,7,2,12594.46,357,2018-02-12
2018,8,2,11681.68,414,2018-02-19
2018,9,2,4258.58,131,2018-02-26
2018,9,3,6287.14,192,2018-02-26
2018,10,3,10851.68,293,2018-03-05
2018,11,3,10435.14,293,2018-03-12
2018,12,3,14692.97,332,2018-03-19
2018,13,3,7921.72,256,2018-03-26
2018,14,4,9158.55,248,2018-04-02
2018,15,4,10872.78,282,2018-04-09
2018,16,4,9607.16,291,2018-04-16
2018,17,4,12284.3,289,2018-04-23
2018,18,4,2047.61,77,2018-04-30
2018,18,5,8228.41,233,2018-04-30
2018,19,5,9371.06,272,2018-05-07
2018,20,5,9700.4,220,2018-05-14
2018,21,5,8624.71,262,2018-05-21
2018,22,5,5665.22,148,2018-05-28
2018,22,6,915.45,27,2018-05-28
2018,23,6,6478.93,143,2018-06-04
2018,24,6,11074.34,273,2018-06-11
2018,25,6,10626.17,287,2018-06-18
2018,26,6,6432.28,167,2018-06-25
2018,27,7,7449.08,163,2018-07-02
2018,28,7,6662.01,173,2018-07-09
2018,29,7,7762.41,109,2018-07-16
2018,30,7,8143.25,197,2018-07-23
2018,31,7,2766.11,91,2018-07-30
2018,31,8,6677.76,174,2018-07-30
2018,32,8,7946.43,216,2018-08-06
2018,33,8,7165.86,212,2018-08-13
2018,34,8,10575.02,200,2018-08-20
2018,35,8,7989.61,288,2018-08-27
2018,35,9,1216.06,28,2018-08-27
2018,36,9,7119.8,200,2018-09-03
2018,37,9,9172.25,322,2018-09-10
2018,38,9,9658.14,262,2018-09-17
2018,39,9,8047.81,241,2018-09-24
2018,40,10,15788.15,181,2018-10-01
2018,41,10,7750.92,229,2018-10-08
2018,42,10,7985.1,226,2018-10-15
2018,43,10,14635.7,506,2018-10-22
2018,44,10,4161.86,145,2018-10-29
2018,44,11,4795.73,117,2018-10-29
2018,45,11,7859.22,226,2018-11-05
2018,46,11,7402.55,201,2018-11-12
2018,47,11,7663.29,191,2018-11-19
2018,48,11,8450.07,187,2018-11-26
2018,48,12,648.98,19,2018-11-26
2018,49,12,5767.28,183,2018-12-03
2018,50,12,4515.88,100,2018-12-10
2018,51,12,5087.23,141,2018-12-17
2018,52,12,3079.94,79,2018-12-24
2018,53,12,592.24,24,2018-12-31
2019,1,1,4043.9,84,2018-12-31
